window_id,frequency,account_count,metric_value,severity,domain,metric_id
OOT,annual,44221,0.0036352563867260096,GREEN,SCORE_DRIFT,score PSI
2017Q1,quarterly,12280,0.006701851733328044,GREEN,SCORE_DRIFT,score PSI
2017Q2,quarterly,11548,0.006323388900666033,GREEN,SCORE_DRIFT,score PSI
2017Q3,quarterly,11480,0.00529919406200337,GREEN,SCORE_DRIFT,score PSI
2017Q4,quarterly,8913,0.004297532255742093,GREEN,SCORE_DRIFT,score PSI
2017-01,monthly,4267,0.006663964132455424,GREEN,SCORE_DRIFT,score PSI
2017-02,monthly,3516,0.010091736489267627,GREEN,SCORE_DRIFT,score PSI
2017-03,monthly,4497,0.00858883869300652,GREEN,SCORE_DRIFT,score PSI
2017-04,monthly,3296,0.012397648559734235,GREEN,SCORE_DRIFT,score PSI
2017-05,monthly,4319,0.00797864025803855,GREEN,SCORE_DRIFT,score PSI
2017-06,monthly,3933,0.005902944314441239,GREEN,SCORE_DRIFT,score PSI
2017-07,monthly,3963,0.007016754477978311,GREEN,SCORE_DRIFT,score PSI
2017-08,monthly,4026,0.004310276842660334,GREEN,SCORE_DRIFT,score PSI
2017-09,monthly,3491,0.016665409905933164,GREEN,SCORE_DRIFT,score PSI
2017-10,monthly,3115,0.0012193591453111673,GREEN,SCORE_DRIFT,score PSI
2017-11,monthly,3152,0.00940020505977789,GREEN,SCORE_DRIFT,score PSI
2017-12,monthly,2646,0.012395091983514395,GREEN,SCORE_DRIFT,score PSI
