investigation_id,alert_id,breach_id,kri_id,hypothesis,tests_run,evidence,root_cause,materiality,recommended_action,owner_role,status,opened_date,closed_date
INV-001,E8A-001,,E3-KRI-001,monitoring signal requires review,verify source aggregate and neighboring windows,aggregate public evidence only,UNKNOWN,MEDIUM,WATCH,PORTFOLIO_ANALYTICS_OWNER,OPEN,2026-09-04,
INV-002,E8A-002,,E3-KRI-002,monitoring signal requires review,verify source aggregate and neighboring windows,aggregate public evidence only,UNKNOWN,MEDIUM,WATCH,PORTFOLIO_ANALYTICS_OWNER,OPEN,2026-09-04,
INV-003,E8A-003,,E3-KRI-003,monitoring signal requires review,verify source aggregate and neighboring windows,aggregate public evidence only,UNKNOWN,MEDIUM,WATCH,PORTFOLIO_ANALYTICS_OWNER,OPEN,2026-09-04,
INV-004,E8A-004,,E5-CALIBRATION_GAP-2017-01,calibration drift while ranking remains strong,"verify eligibility; compare AUC/KS/PR-AUC, slope, score PSI and feature drift",aggregate public evidence only,CALIBRATION,MEDIUM,CALIBRATION_REVIEW,PORTFOLIO_ANALYTICS_OWNER,OPEN,2026-09-04,
INV-005,E8A-005,,E5-CALIBRATION_GAP-2017-08,calibration drift while ranking remains strong,"verify eligibility; compare AUC/KS/PR-AUC, slope, score PSI and feature drift",aggregate public evidence only,CALIBRATION,MEDIUM,CALIBRATION_REVIEW,PORTFOLIO_ANALYTICS_OWNER,OPEN,2026-09-04,
INV-006,E8A-006,,E5-CALIBRATION_GAP-2017-10,calibration drift while ranking remains strong,"verify eligibility; compare AUC/KS/PR-AUC, slope, score PSI and feature drift",aggregate public evidence only,CALIBRATION,MEDIUM,CALIBRATION_REVIEW,PORTFOLIO_ANALYTICS_OWNER,OPEN,2026-09-04,
INV-007,E8A-007,,E5-CALIBRATION_GAP-2017-11,calibration drift while ranking remains strong,"verify eligibility; compare AUC/KS/PR-AUC, slope, score PSI and feature drift",aggregate public evidence only,CALIBRATION,MEDIUM,CALIBRATION_REVIEW,PORTFOLIO_ANALYTICS_OWNER,OPEN,2026-09-04,
INV-008,E8A-008,BR-001,E5-CALIBRATION_GAP-2017-12,calibration drift while ranking remains strong,"verify eligibility; compare AUC/KS/PR-AUC, slope, score PSI and feature drift",aggregate public evidence only,CALIBRATION,MEDIUM,CALIBRATION_REVIEW,PORTFOLIO_ANALYTICS_OWNER,OPEN,2026-09-04,
INV-009,E8A-009,,E5-CALIBRATION_GAP-2017Q4,calibration drift while ranking remains strong,"verify eligibility; compare AUC/KS/PR-AUC, slope, score PSI and feature drift",aggregate public evidence only,CALIBRATION,MEDIUM,CALIBRATION_REVIEW,PORTFOLIO_ANALYTICS_OWNER,OPEN,2026-09-04,
INV-010,E8A-010,,E5-CALIBRATION_SLOPE-OOT,calibration drift while ranking remains strong,"verify eligibility, slope recomputation, clipping, neighboring windows, AUC/KS, score PSI and feature drift",aggregate public evidence only,CALIBRATION,MEDIUM,CALIBRATION_REVIEW,PORTFOLIO_ANALYTICS_OWNER,OPEN,2026-09-04,
INV-011,E8A-011,,E5-CALIBRATION_SLOPE-2017-01,calibration drift while ranking remains strong,"verify eligibility, slope recomputation, clipping, neighboring windows, AUC/KS, score PSI and feature drift",aggregate public evidence only,CALIBRATION,MEDIUM,CALIBRATION_REVIEW,PORTFOLIO_ANALYTICS_OWNER,OPEN,2026-09-04,
INV-012,E8A-012,,E5-CALIBRATION_SLOPE-2017-06,calibration drift while ranking remains strong,"verify eligibility, slope recomputation, clipping, neighboring windows, AUC/KS, score PSI and feature drift",aggregate public evidence only,CALIBRATION,MEDIUM,CALIBRATION_REVIEW,PORTFOLIO_ANALYTICS_OWNER,OPEN,2026-09-04,
INV-013,E8A-013,,E5-CALIBRATION_SLOPE-2017-07,calibration drift while ranking remains strong,"verify eligibility, slope recomputation, clipping, neighboring windows, AUC/KS, score PSI and feature drift",aggregate public evidence only,CALIBRATION,MEDIUM,CALIBRATION_REVIEW,PORTFOLIO_ANALYTICS_OWNER,OPEN,2026-09-04,
