feature,feature_order,feature_type,source_column,transformation,missing_value_rule,category_rule,winsorization_rule,log_transform_rule,interaction_rule,timing_rule,source_stage,code_reference,rebuild_status
revenue,1,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
dti_n,2,OBSERVED_BRIDGE_FIELD,dti_n,Observed value in D1 only; frozen transformation not proven,not applicable,D1 representation only,not applicable,not applicable,not applicable,not proven,Block D D1 bridge,src/build_block_d_d1_mart.py,BLOCKED_NOT_RECONSTRUCTED
loan_amnt,3,OBSERVED_BRIDGE_FIELD,loan_amnt,Observed value in D1 only; frozen transformation not proven,not applicable,D1 representation only,not applicable,not applicable,not applicable,not proven,Block D D1 bridge,src/build_block_d_d1_mart.py,BLOCKED_NOT_RECONSTRUCTED
fico_n,4,OBSERVED_BRIDGE_FIELD,fico_n,Observed value in D1 only; frozen transformation not proven,not applicable,D1 representation only,not applicable,not applicable,not applicable,not proven,Block D D1 bridge,src/build_block_d_d1_mart.py,BLOCKED_NOT_RECONSTRUCTED
experience_c,5,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
emp_length,6,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
purpose,7,OBSERVED_BRIDGE_FIELD,purpose,Observed value in D1 only; frozen transformation not proven,not applicable,D1 representation only,not applicable,not applicable,not applicable,not proven,Block D D1 bridge,src/build_block_d_d1_mart.py,BLOCKED_NOT_RECONSTRUCTED
home_ownership_n,8,OBSERVED_BRIDGE_FIELD,home_ownership_n,Observed value in D1 only; frozen transformation not proven,not applicable,D1 representation only,not applicable,not applicable,not applicable,not proven,Block D D1 bridge,src/build_block_d_d1_mart.py,BLOCKED_NOT_RECONSTRUCTED
total_acc,9,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
open_acc,10,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
pub_rec,11,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
pub_rec_bankruptcies,12,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
revol_util,13,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
